rank_in_dataset_backbone	is_best_for_dataset_backbone	dataset	dataset_slug	backbone	variant	hparams_id	hparams_json	stage	n_completed	n_planned	seeds_completed	mean_balanced_accuracy	std_balanced_accuracy	mean_accuracy	std_accuracy	best_run_id	best_seed	best_balanced_accuracy
		workload	workload	cbramod	coords3d_distbias	coords3d_distbias_pair64_scale0p05_n8	"{""dist_bias_scale"":0.05,""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""n_rbf"":8}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_reference	coords3d_reference_pair128	"{""graph_depth"":0,""native_pair_dim"":128}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_reference	coords3d_reference_pair64	"{""graph_depth"":0,""native_pair_dim"":64}"	stage1_screen	0	1								
1	yes	workload	workload	labram	coords3d_rbf	coords3d_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	stage1_screen	1	1	42	0.5733333333333333	0.0	0.5854545454545454	0.0	stage1_screen_workload_labram_coords3d_rbf_axes_n6_residual_s42	42	0.5733333333333333
2		workload	workload	labram	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	stage1_screen	1	1	42	0.5549999999999999	0.0	0.6436363636363637	0.0	stage1_screen_workload_labram_coords3d_geodesic_rbf_axes_n6_residual_s42	42	0.5549999999999999
3		workload	workload	labram	coords3d_rbf	coords3d_rbf_axes_n6_replace	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""replace""}"	stage1_screen	1	1	42	0.5308333333333334	0.0	0.5418181818181819	0.0	stage1_screen_workload_labram_coords3d_rbf_axes_n6_replace_s42	42	0.5308333333333334
4		workload	workload	labram	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axes_n6_replace	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""replace""}"	stage1_screen	1	1	42	0.525	0.0	0.6545454545454545	0.0	stage1_screen_workload_labram_coords3d_geodesic_rbf_axes_n6_replace_s42	42	0.525
		workload	workload	labram	coords3d	coords3d_replace	"{""spatial_pos_mode"":""replace""}"	stage1_screen	0	1								
		workload	workload	labram	coords3d	coords3d_residual	"{""spatial_pos_mode"":""residual""}"	stage1_screen	0	1								
		workload	workload	labram	coords3d_reference	coords3d_reference_replace	"{""spatial_pos_mode"":""replace""}"	stage1_screen	0	1								
		workload	workload	labram	coords3d_reference	coords3d_reference_residual	"{""spatial_pos_mode"":""residual""}"	stage1_screen	0	1								
